X,Y,Z,Cost
25,279,319,43410
25,288,449,42890
25,288,450,43308
25,289,449,42622
25,289,450,42552
25,289,451,43328
25,290,449,42924
25,290,450,41914
25,290,451,42704
25,291,449,43434
25,291,450,42080
25,291,451,42318
25,291,452,43384
25,292,450,42808
25,292,451,42256
25,292,452,43324
25,293,451,42588
25,293,452,43448
26,289,450,43220
26,290,450,42548
26,290,451,43404
26,291,450,42966
26,291,451,42992
26,292,451,42902
26,293,451,43382
138,265,261,43388
139,264,262,43044
139,265,261,42988
139,265,262,43138
139,266,260,43150
139,266,261,42516
139,267,259,43288
139,267,260,42434
139,267,261,43332
139,268,258,43402
139,268,259,42656
139,268,260,43442
139,269,257,43292
139,269,258,43276
140,263,263,43410
140,264,262,42666
140,264,263,43156
140,265,261,42828
140,265,262,42148
140,265,263,43230
140,266,260,43026
140,266,261,42128
140,266,262,42642
140,267,259,43208
140,267,260,42368
140,267,261,42336
140,267,262,43440
140,268,258,43382
140,268,259,42626
140,268,260,42454
140,268,261,43410
140,269,257,43352
140,269,258,42846
140,269,259,42968
140,270,257,43210
141,262,263,43250
141,263,263,42728
141,264,262,42608
141,264,263,42458
141,265,261,42802
141,265,262,41774
141,265,263,42518
141,266,260,43052
141,266,261,42154
141,266,262,41936
141,266,263,42992
141,267,259,43286
141,267,260,42442
141,267,261,41626
141,267,262,42734
141,268,259,42754
141,268,260,41944
141,268,261,42704
141,269,258,43042
141,269,259,42306
141,269,260,43042
141,270,257,43064
141,270,258,43144
142,262,263,43156
142,263,263,42284
142,263,264,43426
142,264,262,42604
142,264,263,42000
142,264,264,43138
142,265,261,42842
142,265,262,41812
142,265,263,42046
142,265,264,43172
142,266,260,43146
142,266,261,42244
142,266,262,41482
142,266,263,42524
142,267,259,43432
142,267,260,42580
142,267,261,41708
142,267,262,42280
142,267,263,43298
142,268,259,42936
142,268,260,42118
142,268,261,42258
142,268,262,43320
142,269,258,43276
142,269,259,42528
142,269,260,42614
142,270,257,43370
142,270,258,42812
142,270,259,43324
143,262,263,42998
143,263,262,43464
143,263,263,42090
143,263,264,43160
143,264,262,42538
143,264,263,41742
143,264,264,42862
143,265,261,42828
143,265,262,41784
143,265,263,41776
143,265,264,42888
143,266,260,43202
143,266,261,42286
143,266,262,41282
143,266,263,42264
143,266,264,43360
143,267,260,42688
143,267,261,41802
143,267,262,42040
143,267,263,43050
143,268,259,43104
143,268,260,42274
143,268,261,42050
143,268,262,43092
143,269,259,42746
143,269,260,42438
143,269,261,43308
143,270,258,43090
143,270,259,43186
144,262,263,42848
144,263,262,43368
144,263,263,42012
144,263,264,43116
144,264,262,42484
144,264,263,41704
144,264,264,42812
144,265,261,42828
144,265,262,41768
144,265,263,41726
144,265,264,42830
144,266,260,43278
144,266,261,42342
144,266,262,41322
144,266,263,42224
144,266,264,43316
144,267,260,42826
144,267,261,41920
144,267,262,42020
144,267,263,43026
144,268,259,43316
144,268,260,42466
144,268,261,42066
144,268,262,43090
144,269,259,43014
144,269,260,42496
144,269,261,43344
144,270,258,43428
144,270,259,43286
145,261,263,43454
145,262,263,42814
145,263,262,43392
145,263,263,42244
145,263,264,43328
145,264,262,42554
145,264,263,41930
145,264,264,43022
145,265,261,42956
145,265,262,41880
145,265,263,41942
145,265,264,43034
145,266,260,43482
145,266,261,42530
145,266,262,41494
145,266,263,42454
145,267,260,43086
145,267,261,42164
145,267,262,42276
145,267,263,43270
145,268,260,42784
145,268,261,42356
145,268,262,43368
145,269,259,43412
145,269,260,42828
146,262,263,43190
146,263,263,42704
146,264,262,42724
146,264,263,42386
146,264,264,43464
146,265,261,43184
146,265,262,42102
146,265,263,42402
146,265,264,43484
146,266,261,42818
146,266,262,41936
146,266,263,42928
146,267,260,43442
146,267,261,42506
146,267,262,42782
146,268,260,43190
146,268,261,42888
146,269,260,43392
147,263,263,43402
147,264,262,42992
147,264,263,43082
147,265,262,42422
147,265,263,43104
147,266,261,43194
147,266,262,42664
147,267,261,42932
148,264,262,43378
148,265,262,43090
236,270,459,42864
236,270,460,42876
236,271,457,42974
236,271,458,42100
236,271,459,42206
236,271,460,42678
236,272,456,42634
236,272,457,42272
236,272,458,42144
236,272,459,42254
236,272,460,42728
236,273,456,42930
236,273,457,42580
236,273,458,42456
236,273,459,42574
236,273,460,43056
236,274,456,43430
236,274,457,43078
236,274,458,42962
236,274,459,43090
237,270,458,43462
237,270,459,42626
237,270,460,42118
237,270,461,41960
237,270,462,43144
237,271,457,42970
237,271,458,41956
237,271,459,41128
237,271,460,40760
237,271,461,41728
237,271,462,43004
237,272,456,42848
237,272,457,41702
237,272,458,40696
237,272,459,40408
237,272,460,40862
237,272,461,41836
237,272,462,43118
237,273,455,43234
237,273,456,42018
237,273,457,40884
237,273,458,40700
237,273,459,40778
237,273,460,41240
237,273,461,42222
237,274,455,42622
237,274,456,41842
237,274,457,41422
237,274,458,41248
237,274,459,41336
237,274,460,41808
237,274,461,42798
237,275,455,43318
237,275,456,42662
237,275,457,42236
237,275,458,42058
237,275,459,42144
237,275,460,42616
237,276,457,43414
237,276,458,43224
237,276,459,43298
238,269,461,43472
238,269,462,43494
238,270,458,43494
238,270,459,42642
238,270,460,42132
238,270,461,41998
238,270,462,42052
238,270,463,42890
238,271,457,43188
238,271,458,42144
238,271,459,41300
238,271,460,40822
238,271,461,40724
238,271,462,41310
238,271,463,42800
238,272,456,43252
